cip13,lib_cip13,remboursement_total,rang,remboursement_cumule,part_cumulee
3400933967543,PIROXICAM PFZ 20 MG SOL INJ IM 2,748.8199999999999,11706,22682107496.12,99.99897102648654
3400930191095,PARACETAMOL ARL 1G PDR ORALE SACH 8,742.11,11707,22682108238.23,99.9989742982388
3400937521666,GABAPENTINE ARW 100MG GELULE 90,741.48,11708,22682108979.71,99.99897756721357
3400949000661,"GUTRON 2,5MG CPR (AIP)(BBA) 30",739.32,11709,22682109719.03,99.99898082666552
3400949004980,"NATRIXAM 1,5/10MG CPR LM (AIP)(BBF) 90",736.6700000000001,11710,22682110455.7,99.99898407443436
3400930005286,"ALMOTRIPTAN ZYD 12,5MG CPR 6",736.62,11711,22682111192.32,99.99898732198277
3400930047934,SOLIFENACINE TVC 5MG CPR 30,736.22,11712,22682111928.54,99.99899056776769
3400949762415,OMEPRAZOLE ALM 10MG GELULE 14,725.08,11713,22682112653.62,99.9989937644395
3400938264913,GABAPENTINE RBX 400MG GELULE 90,721.3399999999999,11714,22682113374.96,99.99899694462273
3400927551161,CANDESARTAN ARL 16MG CPR 90,719.9,11715,22682114094.86,99.9990001184574
3400921922226,PRAVASTATINE EVO 40MG CPR 84,719.22,11716,22682114814.08,99.99900328929417
3400949001408,TRIATEC 5 MG CPR (AIP BBA) 30,718.7,11717,22682115532.78,99.99900645783836
3400939378428,FLUVASTATINE BGA LP 80MG CPR 90,718.51,11718,22682116251.29,99.99900962554493
3400939765815,TRANDOLAPRIL EG 4MG GELULE 30,716.61,11719,22682116967.9,99.99901278487494
3400937242530,ENALAPRIL VIATRIS 20 MG CPR 84,714.9,11720,22682117682.8,99.99901593666601
3400949500093,AZARGA 10MG/5MG/ML COLLYRE ADP MWI 1,712.59,11721,22682118395.39,99.99901907827298
3400930040546,PREGABALINE ARL 200 MG GELULE 84,710.9,11722,22682119106.29,99.99902221242921
3400949397198,ATORVASTATINE ALM 10MG CPR 30,699.59,11723,22682119805.88,99.99902529672286
3400933899554,SPOTOF 500MG CPR 20,695.89,11724,22682120501.77,99.99902836470426
3400930250075,LACOSAMIDE ZYD 150 MG CPR 56,695.64,11725,22682121197.41,99.99903143158348
3400939323947,VALACICLOVIR EG LABO 500MG CPR 10,695.14,11726,22682121892.55,99.99903449625835
3400927716065,ESCITALOPRAM ARW 5MG CPR 28,693.33,11727,22682122585.88,99.99903755295344
3400939300764,ROPINIROLE ARG 2MG CPR 21,692.83,11728,22682123278.71,99.99904060744416
3400926797348,TRAMADOL/PARACETAMOL VNP CPR 20,692.21,11729,22682123970.92,99.99904365920148
3400937206402,"EUPRESSYL 30 MG (URAPIDIL) 1 BOITE DE 180, GELULES",690.62,11730,22682124661.54,99.99904670394896
3400927717246,ESCITALOPRAM ARW 15MG CPR 28,689.03,11731,22682125350.57,99.99904974168656
3400921854466,RABEPRAZOLE ZYD 20MG CPR 14,687.12,11732,22682126037.69,99.99905277100353
3400936808348,SPIRONOLACTONE SDZ 75MG CPR 30,684.49,11733,22682126722.18,99.99905578872557
3400930146958,NEVIRAPINE ACC 400MG CPR LP 30,684.15,11734,22682127406.33,99.99905880494865
3400932029396,PLUREXID LOC SOL FP 250ML 1,684.15,11735,22682128090.48,99.99906182117172
3400936466425,VACCIN BCG AJV PDR ET SOL INJ + NEC 1,684.11,11736,22682128774.59,99.99906483721844
3400930230060,ONTOZRY 100MG CPR 14,679.6800000000001,11737,22682129454.27,99.99906783373457
3400941746888,ATORVASTATINE EVO 20MG CPR 90,678.5899999999999,11738,22682130132.86,99.99907082544517
3400930040416,PREGABALINE ARL 75 MG GELULE 56,677.2,11739,22682130810.06,99.99907381102769
3400926913564,GLICLAZIDE ARW LM 60MG CPR 90,672.81,11740,22682131482.87,99.99907677725591
3400934031649,HELICIDINE 10% SIROP FL 250ML 1,672.36,11741,22682132155.23,99.99907974150022
3400930243916,"IZIXATE 7,5 MG/0,15ML SOL INJ STYLO 1",671.74,11742,22682132826.97,99.99908270301113
3400930034576,DULOXETINE TVS 60MG GELULE 28,671.41,11743,22682133498.38,99.99908566306716
3400939645667,LOSARTAN ZEN 50MG CPR 90,667.77,11744,22682134166.15,99.99908860707548
3400936746381,MIANSERINE ZEN 30MG CPR 30,666.5,11745,22682134832.65,99.99909154548472
3400949245406,RISEDRONATE BGR 35MG CPR 4,666.15,11746,22682135498.8,99.9990944823509
3400927368929,GLICLAZIDE KRKA LM 30MG CPR 60,663.86,11747,22682136162.66,99.99909740912112
3400935228451,GLUCOSE MACO 5% SOL INJ P 1L 1,663,11748,22682136825.66,99.99910033209986
3400936915657,XENETIX 350 SOL INJ POC150ML PP 1,660.6,11749,22682137486.26,99.99910324449766
3400927899195,HYDROXYZINE ARW 25MG CPR 30,659.97,11750,22682138146.23,99.999106154118
3400930083468,"MONOPROST 0,005% COLLYRE SOLUTION 1",657.4199999999998,11751,22682138803.65,99.9991090524961
3400939200668,FENTANYL BGA 50MICROG/H DISP TRANSD 5,657.35,11752,22682139461,99.99911195056556
3400933998240,"JOSIR LP 0,4MG GELULE 30",656.58,11753,22682140117.58,99.99911484524036
3400949890774,TERBINAFINE SDZ 250 MG CPR 14,655.77,11754,22682140773.35,99.99911773634406
3400937801683,TERBINAFINE VEL 250MG CPR 28,655.03,11755,22682141428.38,99.99912062418532
3400921938715,"LOSARTAN HCTZ ZYD 50/12,5MG CPR 90",653.13,11756,22682142081.51,99.99912350365003
3400927859274,CELECOXIB ARW 200MG GELULE 30,649.67,11757,22682142731.18,99.99912636786058
3400930220160,FENTANYL BIOGARAN 300MCG CPR SUB 10,646.9399999999999,11758,22682143378.12,99.99912922003531
3400927357572,ESOMEPRAZOLE ACF 20MG CPR 28,644.73,11759,22682144022.85,99.99913206246681
3400922191225,ATORVASTATINE ZYF 80MG CPR 90,641.38,11760,22682144664.23,99.9991348901291
3400926910891,GLICLAZIDE TVC LM 60MG CPR 30,641.04,11761,22682145305.27,99.99913771629242
3400934774416,PENTAVAC PDR ET SUSP INJ 1,638.78,11762,22682145944.05,99.99914053249206
3400938743890,FLUVASTATINE TVC 20MG GELULE 30,638.23,11763,22682146582.28,99.99914334626689
3400932234790,ADALATE 10 MG CAPSULE 30,631.38,11764,22682147213.66,99.99914612984202
3400939202099,FENTANYL BGA 100MICROG/H DISP TRANSD 5,629.9599999999999,11765,22682147843.62,99.99914890715678
3400930145739,LEVOCETIRIZINE ZYD 5 MG CPR 14,629.16,11766,22682148472.78,99.99915168094455
3400938630329,RAMIPRIL ARL 10MG CPR 90,628.76,11767,22682149101.54,99.99915445296887
3400932129904,VAXIGRIP SUSP INJ 1,628.6899999999999,11768,22682149730.23,99.99915722468454
3400930048078,SOLIFENACINE TVC 10MG CPR 30,628.36,11769,22682150358.59,99.99915999494536
3400949006632,QVAR AUTOHALER 100 MICROG (DE) 1,628.1199999999999,11770,22682150986.71,99.99916276414805
3400937903271,"NISISCO 80 MG/12,5 MG CPR 30",628.08,11771,22682151614.79,99.99916553317443
3400935599209,SPANOR 100MG CPR 15,625.43,11772,22682152240.22,99.9991682905177
3400934304392,POTASSIUM GLUCONATE H2 SIROP 250ML 1,620.18,11773,22682152860.4,99.99917102471521
3400936246690,DOLKO 1G CPR 8,619.66,11774,22682153480.06,99.9991737566202
3400949739523,XEROQUEL LP 50MG CPR 10,618.89,11775,22682154098.95,99.99917648513046
3400930086599,EPLERENONE ACC 50MG CPR 90,616.8,11776,22682154715.75,99.9991792044265
3400938844948,"FOSINOPRIL HCTZ EG 20/12,5MG CPR 30",616.4,11777,22682155332.15,99.99918192195908
3400930006467,HYDROXYZINE TVC 25MG CPR 30,614.31,11778,22682155946.46,99.99918463027741
3400932742417,ZYMAFLUOR MYLAN 1MG CPR 100,613.87,11779,22682156560.33,99.99918733665594
3400932434824,PNEUMO 23 SOL INJ SER 1,613.36,11780,22682157173.69,99.99919004078599
3400934845826,MIFLASONE 200 MICROG PDR INH GELULE 60,610.32,11781,22682157784.01,99.99919273151356
3400937103633,PINAVERIUM SDZ 100MG CPR 30,608.61,11782,22682158392.62,99.99919541470223
3400934168475,NUREFLEX 400MG CPR 20,604.82,11783,22682158997.44,99.99919808118186
3400939191690,"ZOLMITRIPTAN ZYF 2,5MG CPR ORODISP 6",601.08,11784,22682159598.52,99.9992007311729
3400926943202,"FROVATRIPTAN VTS 2,5 MG CPR 2",599.9,11785,22682160198.42,99.99920337596164
3400938626018,PERINDOPRIL ARW 8MG CPR 30,596.8000000000001,11786,22682160795.22,99.99920600708339
3400930126158,PALMIER DE FLORIDE MYL 160MG GELULE 180,596.2900000000001,11787,22682161391.51,99.99920863595666
3400949023370,COVERAM 5MG/5MG CPR (AIP) (BBA CZ) 30,590.12,11788,22682161981.63,99.99921123762817
3400930035474,ATORVASTATINE ARG 40 MG CPR 30,589.13,11789,22682162570.76,99.99921383493503
3400939278551,IRBESARTAN SUN 150MG CPR PELL 30,588.75,11790,22682163159.51,99.9992164305666
3400936240209,CIPROFIBRATE MYL 100MG GELULE 30,587.5500000000001,11791,22682163747.06,99.99921902090773
3400949763764,OMEPRAZOLE ALM 20MG GELULE 14,582.44,11792,22682164329.5,99.99922158872029
3400949023721,COVERAM 5MG/10MG CPR (AIP) (BBA CZ) 90,581.36,11793,22682164910.86,99.99922415177144
3400922135335,ATORVASTATINE ARW 20MG CPR 30,577.41,11794,22682165488.27,99.99922669740818
3400922414461,DASSELTA 5MG CPR 30,575.82,11795,22682166064.09,99.99922923603503
3400930131350,GLUCOSE LAV 5% SOL INJ PP 50ML 1,573.5,11796,22682166637.59,99.99923176443369
3400935259967,"REVAXIS 1 BOITE DE 1, VACCIN DIPHTERIQUE, TETANIQU",569.36,11797,22682167206.95,99.99923427458025
3400936744080,"CEFTRIAXONE ZEN 0,5G/5ML PDR INJ IV 1",567.55,11798,22682167774.5,99.99923677674703
3400938284263,ONDANSETRON ZEN 8MG CPR DISP 4,567.26,11799,22682168341.76,99.99923927763528
3400949004911,"FEMARA 2,5MG CPR (AIP) 30",566.3,11800,22682168908.06,99.99924177429118
3400949016167,"FEMARA 2,5MG CPR (AIP)(PLA IT) 30",566.3,11801,22682169474.36,99.99924427094707
3400936773356,"SODIUM CHL BLZ 0,9% SOL INJ PO 500ML 1",563.74,11802,22682170038.1,99.99924675631664
3400935570802,CALCIUM SDZ 500MG PDR ORALE 30,562.1700000000001,11803,22682170600.27,99.99924923476455
3400949004096,COVERAM 10MG/10MG CPR(AIP) 90,559.42,11804,22682171159.69,99.99925170108845
3400936742659,AMOXICILLINE ZTV 1G CPR DISP 6,559.38,11805,22682171719.07,99.99925416723605
3400934197741,IXEL 25MG GELULE 56,558.81,11806,22682172277.88,99.99925663087065
3400936123243,METFORMINE CRT 850MG CPR 90,556.61,11807,22682172834.49,99.99925908480608
3400949004027,"TRIFLUCAN 100 MG, GELULE (AIP) 7",555.61,11808,22682173390.1,99.99926153433279
3400937910194,"AMOX/AC CLAV ZTK 100/12,5MG/ML 1",555.1,11809,22682173945.2,99.99926398161107
3400938117042,LANSOPRAZOLE EG 30MG GELULE 7,553.29,11810,22682174498.49,99.99926642090958
3400936102651,PARACETAMOL COD MYL 500/30MG CPR EFF 16,552.4599999999999,11811,22682175050.95,99.99926885654882
3400927984334,LEPTAX 250 MG CPR 60,552.12,11812,22682175603.07,99.99927129068912
3400933056391,HELMINTOX 250MG CPR 3,551.06,11813,22682176154.13,99.99927372015618
3400938558197,RISPERIDONE SDZ 1MG/ML SOL BUV 120ML 1,550.26,11814,22682176704.39,99.99927614609626
3400949243624,"ADAPALENE ZEN 0,1% GEL 1",549.5600000000001,11815,22682177253.95,99.99927856895025
3400936746442,MIANSERINE ZEN 60MG CPR 14,548.65,11816,22682177802.6,99.99928098779229
3400930168349,PARACETAMOL ACC 500MG CPR EFF 16,546.11,11817,22682178348.71,99.99928339543621
3400937339445,RAMIPRIL ARL 5MG CPR 30,545.72,11818,22682178894.43,99.99928580136073
3400921938593,"LOSARTAN HCTZ ZYD 50/12,5MG CPR 30",543.09,11819,22682179437.52,99.99928819569031
3400932459377,IOPAMIRON 370 SOL INJ FL 20ML 1,542.42,11820,22682179979.94,99.99929058706607
3400949960194,AMOROLFINE SDZ 5% VERNIS MED 1,541.85,11821,22682180521.79,99.99929297592885
3400922167961,IRBESARTAN BGA 300MG CPR PELL 90,541.42,11822,22682181063.21,99.9992953628959
3400930080757,BISOPROLOL QVL 10MG CPR 30,539.8100000000001,11823,22682181603.02,99.9992977427649
3400922032856,BETAHISTINE ACC 8 MG CPR 30,539.16,11824,22682182142.18,99.99930011976824
3400938931457,MONTELUKAST SDZ 5MG CPR CROQ 28,534.5,11825,22682182676.68,99.99930247622694
3400949004973,"NATRIXAM 1,5/10MG CPR LM (AIP)(BBF) 30",534.41,11826,22682183211.09,99.9993048322889
